Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD,calendar_week
2019-11-23,ETHUSD,150.31,154.44,146.5,152.29,5959.93,897204.51,47
2019-11-22,ETHUSD,160.8,162.34,137.8,150.31,44638.35,6669258.27,47
2019-11-21,ETHUSD,174.24,175.2,155.57,160.8,17884.96,2912463.25,47
2019-11-20,ETHUSD,175.5,177.25,173.0,174.24,8437.23,1474146.49,47
2019-11-19,ETHUSD,177.96,178.07,172.51,175.5,7395.08,1292675.32,47
2019-11-18,ETHUSD,183.93,183.93,174.43,177.96,9068.95,1623442.68,47
2019-11-17,ETHUSD,182.41,186.3,179.98,183.93,1307.01,239805.57,46
2019-11-16,ETHUSD,179.95,183.43,179.23,182.41,1425.72,258550.02,46
2019-11-15,ETHUSD,184.58,186.53,177.0,179.95,9777.54,1779681.4,46
2019-11-14,ETHUSD,187.81,188.42,182.8,184.58,6136.44,1132186.74,46
2019-11-13,ETHUSD,186.98,189.4,185.14,187.81,5799.04,1087896.05,46
2019-11-12,ETHUSD,184.79,187.16,182.06,186.98,8106.69,1500093.94,46
2019-11-11,ETHUSD,188.97,189.95,183.84,184.79,5750.52,1073506.85,46
2019-11-10,ETHUSD,184.89,192.12,183.47,188.97,5335.46,1010909.59,45
2019-11-09,ETHUSD,183.9,185.75,182.76,184.89,1900.02,349919.93,45
2019-11-08,ETHUSD,186.52,188.1,180.7,183.9,4875.09,895589.9,45
2019-11-07,ETHUSD,191.38,192.27,184.5,186.52,8520.42,1603400.14,45
2019-11-06,ETHUSD,188.92,194.79,188.0,191.38,10576.99,2013231.41,45
2019-11-05,ETHUSD,186.28,192.64,182.51,188.92,16736.98,3149861.84,45
2019-11-04,ETHUSD,181.65,189.43,180.5,186.28,4527.82,840449.04,45
2019-11-03,ETHUSD,183.25,185.11,179.02,181.65,2189.88,397239.01,44
2019-11-02,ETHUSD,183.26,186.27,182.02,183.25,2697.45,497422.14,44
2019-11-01,ETHUSD,182.43,184.93,177.31,183.26,8417.44,1522175.84,44
2019-10-31,ETHUSD,183.15,185.33,178.01,182.43,8221.46,1494354.29,44
2019-10-30,ETHUSD,191.32,192.02,180.11,183.15,10424.7,1918690.23,44
2019-10-29,ETHUSD,182.16,193.0,181.83,191.32,11583.47,2171208.82,44
2019-10-28,ETHUSD,184.22,189.82,180.88,182.16,10517.56,1929065.54,44
2019-10-27,ETHUSD,180.28,189.12,177.31,184.22,4581.69,850197.83,43
2019-10-26,ETHUSD,181.65,199.38,173.91,180.28,17696.01,3316896.93,43
2019-10-25,ETHUSD,161.25,187.78,160.7,181.65,15497.86,2742396.73,43
2019-10-24,ETHUSD,162.7,163.78,159.06,161.25,7506.65,1208874.28,43
2019-10-23,ETHUSD,171.46,171.49,153.0,162.7,35005.88,5649762.07,43
2019-10-22,ETHUSD,174.63,175.5,170.7,171.46,5743.54,993754.32,43
2019-10-21,ETHUSD,175.56,177.9,171.93,174.63,6354.4,1107398.13,43
2019-10-20,ETHUSD,172.02,176.8,169.62,175.56,5571.16,969605.05,42
2019-10-19,ETHUSD,172.77,175.09,169.87,172.02,4031.79,691203.78,42
2019-10-18,ETHUSD,177.3,177.4,168.41,172.77,10244.05,1770138.16,42
2019-10-17,ETHUSD,174.35,179.0,172.0,177.3,18735.88,3263155.93,42
2019-10-16,ETHUSD,180.68,181.32,171.59,174.35,10030.72,1762463.92,42
2019-10-15,ETHUSD,186.68,188.43,177.08,180.68,15958.96,2901347.66,42
2019-10-14,ETHUSD,181.04,187.97,180.59,186.68,15144.8,2787898.51,42
2019-10-13,ETHUSD,180.0,184.69,178.84,181.04,4847.68,881111.22,41
2019-10-12,ETHUSD,180.74,184.83,177.44,180.0,8209.89,1482316.88,41
2019-10-11,ETHUSD,191.65,197.77,179.61,180.74,16729.07,3125312.02,41
2019-10-10,ETHUSD,193.23,194.89,187.47,191.65,6654.78,1273103.83,41
2019-10-09,ETHUSD,180.95,198.0,179.29,193.23,22605.98,4302753.79,41
2019-10-08,ETHUSD,180.2,185.09,177.59,180.95,7278.95,1312394.28,41
2019-10-07,ETHUSD,170.15,182.6,168.98,180.2,8879.98,1581312.85,41
2019-10-06,ETHUSD,176.22,177.0,167.6,170.15,5950.52,1014063.19,40
2019-10-05,ETHUSD,176.16,177.13,172.11,176.22,1987.68,347888.37,40
2019-10-04,ETHUSD,175.0,179.47,170.84,176.16,7481.29,1311030.03,40
2019-10-03,ETHUSD,180.78,181.07,169.81,175.0,9688.15,1686674.49,40
2019-10-02,ETHUSD,176.05,181.9,174.21,180.78,9292.69,1647155.59,40
2019-10-01,ETHUSD,181.0,185.75,173.85,176.05,15446.38,2764711.89,40
2019-09-30,ETHUSD,169.27,181.87,165.11,181.0,18264.49,3178679.18,40
2019-09-29,ETHUSD,173.93,174.71,164.7,169.27,4903.69,826860.71,39
2019-09-28,ETHUSD,174.36,175.87,168.57,173.93,7671.42,1331132.93,39
2019-09-27,ETHUSD,165.85,177.08,161.17,174.36,15727.34,2638507.58,39
2019-09-26,ETHUSD,169.87,170.93,152.11,165.85,26159.49,4253476.11,39
2019-09-25,ETHUSD,166.15,175.0,162.47,169.87,16209.66,2728669.98,39
2019-09-24,ETHUSD,200.68,202.69,152.39,166.15,57331.2,9978628.61,39
2019-09-23,ETHUSD,211.37,211.41,198.34,200.68,11158.06,2298918.33,39
2019-09-22,ETHUSD,215.16,215.23,206.12,211.37,6283.79,1319047.96,38
2019-09-21,ETHUSD,218.59,221.4,214.0,215.16,5753.27,1245411.38,38
2019-09-20,ETHUSD,220.29,220.49,212.01,218.59,7633.77,1655313.62,38
2019-09-19,ETHUSD,210.4,224.71,202.34,220.29,15095.37,3217431.93,38
2019-09-18,ETHUSD,208.15,217.25,208.15,210.4,12092.71,2581878.39,38
2019-09-17,ETHUSD,197.8,215.0,196.27,208.15,16399.13,3363033.45,38
2019-09-16,ETHUSD,189.49,199.75,188.58,197.8,15868.37,3084006.98,38
2019-09-15,ETHUSD,188.83,191.03,186.5,189.49,4802.9,907427.83,37
2019-09-14,ETHUSD,181.43,189.95,180.32,188.83,5842.43,1087778.85,37
2019-09-13,ETHUSD,180.88,181.8,177.7,181.43,4494.36,806668.4,37
2019-09-12,ETHUSD,178.47,182.6,176.45,180.88,2749.15,491636.33,37
2019-09-11,ETHUSD,179.61,182.7,173.7,178.47,12741.56,2270428.1,37
2019-09-10,ETHUSD,181.04,184.35,176.68,179.61,8576.85,1544625.31,37
2019-09-09,ETHUSD,181.43,185.94,176.14,181.04,10756.78,1939475.72,37
2019-09-08,ETHUSD,178.36,184.54,176.62,181.43,9819.85,1776759.21,36
2019-09-07,ETHUSD,168.93,180.9,168.93,178.36,11821.39,2074152.2,36
2019-09-06,ETHUSD,175.35,178.5,164.83,168.93,25478.3,4370740.09,36
2019-09-05,ETHUSD,175.08,178.87,169.44,175.35,10183.72,1753541.31,36
2019-09-04,ETHUSD,179.12,180.35,173.47,175.08,9368.13,1656902.43,36
2019-09-03,ETHUSD,178.79,183.3,173.72,179.12,14758.53,2646200.96,36
2019-09-02,ETHUSD,171.2,181.67,170.59,178.79,9283.76,1638376.4,36
2019-09-01,ETHUSD,171.95,174.04,168.02,171.2,3168.83,541222.72,35
2019-08-31,ETHUSD,168.18,174.5,166.38,171.95,2069.81,351404.07,35
2019-08-30,ETHUSD,168.82,170.33,165.63,168.18,6864.1,1157776.47,35
2019-08-29,ETHUSD,172.87,173.39,163.6,168.82,17309.71,2917993.81,35
2019-08-28,ETHUSD,187.17,188.09,165.71,172.87,26040.43,4573997.16,35
2019-08-27,ETHUSD,188.44,189.12,184.56,187.17,3867.55,721788.35,35
2019-08-26,ETHUSD,186.42,193.85,185.79,188.44,7748.66,1470849.58,35
2019-08-25,ETHUSD,190.82,192.89,182.74,186.42,4466.9,836543.93,34
2019-08-24,ETHUSD,194.81,194.81,186.42,190.82,4501.41,853072.36,34
2019-08-23,ETHUSD,193.58,196.6,188.86,194.81,7206.3,1387654.09,34
2019-08-22,ETHUSD,186.71,194.91,182.66,193.58,10793.06,2043759.33,34
2019-08-21,ETHUSD,196.47,196.67,180.0,186.71,20439.2,3830603.36,34
2019-08-20,ETHUSD,202.63,202.94,194.63,196.47,11086.94,2190411.86,34
2019-08-19,ETHUSD,194.67,203.57,193.08,202.63,12880.33,2566365.59,34
2019-08-18,ETHUSD,185.49,198.03,183.4,194.67,6417.62,1235359.38,33
2019-08-17,ETHUSD,185.29,187.19,181.99,185.49,2877.2,530026.36,33
2019-08-16,ETHUSD,187.98,188.14,177.99,185.29,24361.46,4447309.44,33
2019-08-15,ETHUSD,186.21,189.69,173.58,187.98,47875.68,8726927.4,33
