date_in_ms,price,time,calendar_week
1556323200000,5.295.847.320.048.220,2019-04-27 02:00:00.000,17
1556409600000,5.256.977.802.474.050,2019-04-28 02:00:00.000,17
1556496000000,5.257.803.249.232.500,2019-04-29 02:00:00.000,18
1556582400000,5.199.755.008.563.460,2019-04-30 02:00:00.000,18
1556668800000,5.292.803.974.562.050,2019-05-01 02:00:00.000,18
1556755200000,53.545.868.001.739.600,2019-05-02 02:00:00.000,18
1556841600000,5.450.706.620.486.420,2019-05-03 02:00:00.000,18
1556928000000,5.731.493.099.606.550,2019-05-04 02:00:00.000,18
1557014400000,5.803.943.309.048.430,2019-05-05 02:00:00.000,18
1557100800000,5.749.323.780.460.320,2019-05-06 02:00:00.000,19
1557187200000,57.157.571.359.661.000,2019-05-07 02:00:00.000,19
1557273600000,5.841.053.771.273.750,2019-05-08 02:00:00.000,19
1557360000000,5.957.856.732.858.390,2019-05-09 02:00:00.000,19
1557446400000,6.168.268.996.398.250,2019-05-10 02:00:00.000,19
1557532800000,6.370.233.758.607.850,2019-05-11 02:00:00.000,19
1557619200000,7.258.261.280.655.220,2019-05-12 02:00:00.000,19
1557705600000,695.375.138.858.638,2019-05-13 02:00:00.000,20
1557792000000,780.598.164.948.938,2019-05-14 02:00:00.000,20
1557878400000,7.990.055.553.534.350,2019-05-15 02:00:00.000,20
1557964800000,8.192.223.138.952.010,2019-05-16 02:00:00.000,20
1558051200000,7.875.913.199.526.060,2019-05-17 02:00:00.000,20
1558137600000,7.343.371.457.162.990,2019-05-18 02:00:00.000,20
1558224000000,7.300.655.158.341.220,2019-05-19 02:00:00.000,20
1558310400000,8.168.730.689.783.750,2019-05-20 02:00:00.000,21
1558396800000,7.976.851.712.899.620,2019-05-21 02:00:00.000,21
1558483200000,7.958.365.526.075.080,2019-05-22 02:00:00.000,21
1558569600000,766.579.685.383.355,2019-05-23 02:00:00.000,21
1558656000000,7.861.812.792.465.440,2019-05-24 02:00:00.000,21
1558742400000,7.977.244.882.467.970,2019-05-25 02:00:00.000,21
1558828800000,8.037.627.431.860.580,2019-05-26 02:00:00.000,21
1558915200000,8.631.080.577.844.010,2019-05-27 02:00:00.000,22
1559001600000,881.603.391.493.351,2019-05-28 02:00:00.000,22
1559088000000,8.726.978.110.456.390,2019-05-29 02:00:00.000,22
1559174400000,8.650.677.405.968.290,2019-05-30 02:00:00.000,22
1559260800000,8.310.891.063.057.410,2019-05-31 02:00:00.000,22
1559347200000,8.575.646.353.354.160,2019-06-01 02:00:00.000,22
1559433600000,8.554.261.728.092.010,2019-06-02 02:00:00.000,22
1559520000000,8.743.705.469.134.230,2019-06-03 02:00:00.000,23
1559606400000,8.173.632.761.796.730,2019-06-04 02:00:00.000,23
1559692800000,7.683.636.261.419.780,2019-06-05 02:00:00.000,23
1559779200000,781.244.885.473.215,2019-06-06 02:00:00.000,23
