date_in_ms;price
1426809600000;2.609.075
1426896000000;2.594.899
1426982400000;2.677.980.999.999.990
1427068800000;2.660.272
1427155200000;2.451.679
1427241600000;2.462.715
1427328000000;2.475.595
1427414400000;2.471.476
1427500800000;2.520.497
1427587200000;2.419.136.999.999.990
1427673600000;2.465.418
1427760000000;2.432.692.000.000.000
1427846400000;2.467.755
1427932800000;252.341
1428019200000;2.536.226.999.999.990
1428105600000;2.533.213
1428192000000;2.597.117.999.999.990
1428278400000;2.554.233
1428364800000;2.532.085
1428451200000;2.442.709
1428537600000;2.432.006.548.544.860
1428624000000;2.345.253
1428710400000;2.364.501
1428796800000;2.357.386
1428883200000;2.239.464
1428969600000;2.179.995
1429056000000;2.230.161
1429142400000;2.279.995
1429228800000;2.224.171.382.852.380
1429315200000;2.229.536.999.999.990
1429401600000;2.226.812
1429488000000;2.243.086
1429574400000;2.346.867.000.000.000
1429660800000;2.337.807
1429747200000;2.351.735
1429833600000;2.309.863
1429920000000;2.259.568
1430006400000;2.185.065
1430092800000;2.285.712
1430179200000;2.256.422.999.999.990
1430265600000;2.259.978
1430352000000;2.362.208
1430438400000;2.327.402.999.999.990
1430524800000;2.351.563
1430611200000;239.882
1430697600000;2.389.705.999.999.990
1430784000000;2.360.015.000.000.000
1430870400000;2.298.152
1430956800000;2.368.450.000.000.000
1431043200000;243.657
1431129600000;2.415.321
1431216000000;2.395.548
1431302400000;2.418.506
1431388800000;2.415.189.000.000.000
1431475200000;2.354.793
1431561600000;236.704
1431648000000;2.369.908
1431734400000;2.359.781
1431820800000;2.360.847
1431907200000;2.324.757
1431993600000;2.319.446.000.000.000
1432080000000;234.048
1432166400000;2.354.204.999.999.990
1432252800000;2.409.352
1432339200000;2.390.329.940.983.280
1432425600000;2.412.417.000.000.000
1432512000000;237.441
1432598400000;2.374.971
1432684800000;2.372.305
1432771200000;2.374.891.000.000.000
1432857600000;2.370.714
1432944000000;2.334.572
1433030400000;2.296.785
1433116800000;2.233.178
1433203200000;2.257.387
1433289600000;2.254.831
1433376000000;2.241.748
1433462400000;2.247.413
1433548800000;2.252.889
1433635200000;2.236.157
1433721600000;2.287.013.000.000.000
1433808000000;2.295.263.999.999.990
1433894400000;2.290.022
1433980800000;2.299.343.000.000.000
1434067200000;2.305.181
1434153600000;2.326.301
1434240000000;2.336.681
1434326400000;2.372.013
1434412800000;2.504.743
1434499200000;2.476.944.000.000.000
1434585600000;2.485.519.999.999.990
1434672000000;2.429.967
1434758400000;2.454.754
1434844800000;2.439.959
1434931200000;2.472.790.000.000.000
1435017600000;2.438.486
1435104000000;2.405.377.000.000.000
1435190400000;2.424.769
1435276800000;2.424.819
