transaction_count,holder_count,market_data_current_price_usd,market_data_ath_usd,market_data_total_supply,market_data_circulating_supply,public_interest_stats_bing_matches,labels_categories_0,labels_country_origin,labels_ico_data_country_origin,labels_ico_data_hardcap_currency,labels_ico_data_softcap_currency,labels_ico_data_total_raised_currency
52659.0,32556.0,0.01272318,0.050169,1000000000.0,0.0,67100.0,5,99,73,35,25,10
877.0,121.0,0.01173049,0.065106,50000000.0,16300808.0,25200.0,31,111,59,23,15,7
306192.0,21312.0,0.158303,25324.0,536306702.0,33043900000000.0,83800.0,18,65,48,23,15,10
48262.14103819784,13576.305982347172,0.55786,698.67,10000000.0,0.0,27500.0,8,66,59,23,15,7
48262.14103819784,13576.305982347172,0.0169,0.00021781,425000000.0,0.0,1230000.0,8,39,59,23,15,7
2749.0,437.0,0.014262100000000002,0.378275,500000000.0,0.0,160000.0,26,79,59,23,15,7
48262.14103819784,13576.305982347172,0.0105,0.00672254,990000000000.0,0.0,416000.0,26,79,59,23,15,7
48262.14103819784,13576.305982347172,0.0841,0.092437,750256870000.0,0.0,3540000.0,26,79,59,23,15,7
8101.0,901.0,0.081537,0.2316,1000000.0,0.0,112000.0,14,22,59,23,15,7
1967.0,1058.0,0.055202999999999995,0.081773,35000000000.0,0.0,82400.0,26,77,57,35,25,7
41241.0,37994.0,0.0839,0.00233262,194333997.0,0.0,27000.0,30,34,59,23,15,7
48262.14103819784,13576.305982347172,0.00042048,0.00550836,284000000.0,0.0,27400.0,26,79,59,23,15,7
48262.14103819784,13576.305982347172,0.00175465,0.00175465,5500000.0,0.0,55700.0,23,79,59,23,15,7
48262.14103819784,13576.305982347172,0.00532938,0.723488,1000000000.0,0.0,39400.0,26,79,59,35,25,7
48262.14103819784,13576.305982347172,0.00050652,23.81,36000000.0,0.0,3020000.0,26,79,59,23,15,7
48262.14103819784,13576.305982347172,0.152341,43653.0,42000000.0,0.0,27400.0,32,79,59,23,15,7
48262.14103819784,13576.305982347172,0.00244708,0.098562,3000000.0,23725600000000.0,25700.0,6,39,59,23,15,7
40192.0,9265.0,0.04331374,43556.0,130271020.0,802230000000000.0,33400.0,21,34,25,2,15,10
4488.0,453.0,0.01321871,0.01792702,968000000.0,0.0,27400.0,26,79,59,23,15,7
48262.14103819784,13576.305982347172,0.00109779,0.36093200000000003,50000000.0,0.0,84200.0,26,79,59,23,15,7
138197.0,102867.0,0.00033692,0.03991299,380000000.0,47000000.0,34400000.0,26,79,59,23,15,7
502.0,25.0,0.00021198,0.01871471,3300000000.0,0.0,1800000.0,26,79,59,23,15,7
48262.14103819784,13576.305982347172,0.01,0.00027515,500000000.0,0.0,83900.0,26,79,59,23,15,7
363.0,58.0,0.0019739000000000002,0.714804,100000000.0,0.0,26800.0,4,44,33,35,25,7
48262.14103819784,13576.305982347172,0.00258084,0.02342818,2141889591178998.0,0.0,88500000.0,22,28,21,14,8,10
48262.14103819784,13576.305982347172,0.00210634,31809.0,25000000.0,141507000000000.0,84800.0,14,39,59,23,15,7
11619.0,3175.0,0.073671,0.44083199999999995,210000000.0,0.0,57400.0,26,79,59,23,15,7
151566.0,102877.0,0.00158931,0.119074,2100000000.0,6694310000000000.0,3190.0,26,79,59,23,15,7
5013.0,1547.0,0.01739883,17593.0,2141889591178998.0,0.0,108000.0,26,101,75,23,15,10
16234.0,10896.0,0.0849,0.00570159,7896754783.0,0.0,48100000.0,0,101,75,14,8,10
50902.0,26933.0,0.00899773,0.47871,100000000.0,5483610000000000.0,27800.0,8,23,16,35,15,10
48262.14103819784,13576.305982347172,19085.0,59.02,25000000.0,0.0,34200.0,14,120,59,23,15,7
38862.0,3368.0,0.00767248,0.03023976,20000000000.0,0.0,27100.0,4,101,75,35,25,7
55392.0,13792.0,5.45e-05,0.00520703,10000000000.0,4973400000000000.0,28300.0,26,79,59,23,15,7
163594.0,12567.0,0.068552,11628.0,465934587.0,345027193.0,999000.0,8,79,59,23,15,7
48262.14103819784,13576.305982347172,0.275258,0.478604,1000000000.0,0.0,49800.0,26,79,59,23,15,7
13460.0,622.0,0.054986,0.283794,1200000000.0,0.0,6040000.0,26,79,59,23,15,7
3281.0,1336.0,0.0613,0.00024397,10000000000.0,0.0,33100.0,26,79,59,23,15,7
48262.14103819784,13576.305982347172,0.00017717,0.070605,74700000000.0,0.0,62800.0,26,79,59,23,15,7
0.0,0.0,0.00027665,0.00071757,5000000000.0,0.0,1560000.0,8,47,34,24,16,7
2092.0,337.0,0.00782707,0.01823848,10000000000.0,0.0,27500.0,26,79,59,23,15,7
48262.14103819784,13576.305982347172,0.0401,0.02785303,45000000.0,0.0,27400.0,26,79,59,23,15,7
1.0,1.0,0.115327,0.914549,3500000000.0,0.0,27400.0,8,44,59,23,15,7
19921.0,15611.0,0.00758152,0.03229076,147792660.0,0.0,8220000.0,27,39,30,35,25,10
